j, 1464
f, 2297
f, 2814
k, 4114
k, 4647
k, 5181
j, 5714
d, 6230
k, 6748
k, 7281
d, 8648
k, 9164
d, 9681
k, 10215
d, 10748
k, 11281
d, 11797
j, 12298
d, 12849
d, 13365
d, 14465
d, 14981
k, 16031
k, 16565
f, 17115
k, 17631
f, 18349
f, 18881
j, 19649
k, 20199
k, 20715
d, 21231
f, 21748
d, 22515
f, 23049
j, 23582
f, 24115
f, 24648
d, 25465
d, 25983
k, 26749
j, 27283
j, 27798
j, 28332
d, 28865
f, 29366
k, 29915
d, 31499
f, 32050
j, 32566
d, 34999
d, 35500
f, 36033
j, 36566
j, 37083
j, 37616
f, 38132
d, 38634
f, 39167
d, 39683
f, 40200
j, 40717
k, 41249
f, 41766
d, 42283
k, 42800
j, 43334
d, 43866
d, 44400
f, 44916
d, 45433
k, 45967
j, 46483
k, 47000
j, 47533
d, 48050
f, 48600
j, 49101
k, 49616
f, 50150
d, 50683
k, 51217
j, 51734
j, 52250
d, 52817
j, 53550
k, 54067
d, 54584
j, 55117
d, 56751
j, 57267
j, 57801
f, 58785
j, 59301
j, 59834
j, 60351
d, 61185
k, 61717
k, 62468
d, 62984
k, 63535
d, 64068
k, 64851
d, 65651
d, 66968
d, 67501
k, 68501
k, 69002
k, 69535
k, 70118
j, 70635
j, 71168
j, 71702
j, 72218
k, 72752
k, 73285
d, 73818
f, 74335
d, 75068
j, 75685
j, 76219
k, 76753
d, 78019
d, 78535
j, 79068
j, 79585
j, 80102
j, 80618
f, 81135
d, 81735
f, 82270
f, 82802
d, 84069
f, 84636
j, 85152
d, 87320
d, 87836
d, 88369
j, 88886
j, 89403
k, 89936
f, 90470
d, 91002
j, 91503
j, 92019
f, 92520
f, 93054
d, 93570
j, 94103
k, 94636
j, 95170
d, 95686
j, 96204
f, 96736
j, 97253
d, 97770
f, 98303
j, 98837
k, 99370
j, 99905
j, 100420
j, 100955
k, 101470
j, 102003
k, 102537
j, 103203
d, 103704
j, 104237
j, 104821
d, 105337
f, 105887
d, 106687
f, 107204
d, 107720
d, 109223
j, 109771
d, 110304
f, 110854
d, 111371
j, 111905
j, 112438
j, 112971
d, 113771
f, 114288
k, 115071
